nc	pc	oct	accid	dur	tie	chord	part	meas	beat	beatIndex
3	5	5	NA	1	NA	0	1	76	2	230
2	4	5	NA	1	NA	0	1	76	2.25	230.25
1	2	5	NA	1	NA	0	1	76	2.5	230.5
0	1	5	s	1	NA	0	1	76	2.75	230.75
1	2	5	NA	1	NA	0	1	77	0	231
5	9	4	NA	1	NA	0	1	77	0.25	231.25
6	10	4	NA	1	NA	0	1	77	0.5	231.5
0	1	5	s	1	NA	0	1	77	0.75	231.75
1	2	5	NA	1	NA	0	1	77	1	232
2	4	5	NA	1	NA	0	1	77	1.25	232.25
3	5	5	NA	1	NA	0	1	77	1.5	232.5
2	4	5	NA	1	NA	0	1	77	1.75	232.75
1	2	5	NA	1	NA	0	1	77	2	233
5	9	4	NA	1	NA	0	1	77	2.25	233.25
6	10	4	NA	1	NA	0	1	77	2.5	233.5
0	1	5	NA	1	NA	0	1	77	2.75	233.75
1	2	5	NA	1	NA	0	1	78	0	234
2	4	5	NA	1	NA	0	1	78	0.25	234.25
3	5	5	NA	1	NA	0	1	78	0.5	234.5
2	4	5	NA	1	NA	0	1	78	0.75	234.75
1	2	5	NA	1	NA	0	1	78	1	235
5	9	4	NA	1	NA	0	1	78	1.25	235.25
6	11	4	n	1	NA	0	1	78	1.5	235.5
0	1	5	s	1	NA	0	1	78	1.75	235.75
1	2	5	NA	1	NA	0	1	78	2	236
2	4	5	NA	1	NA	0	1	78	2.25	236.25
3	5	5	NA	1	NA	0	1	78	2.5	236.5
2	4	5	NA	1	NA	0	1	78	2.75	236.75
1	2	5	NA	1	NA	0	1	79	0	237
5	9	4	NA	1	NA	0	1	79	0.25	237.25
6	10	4	NA	1	NA	0	1	79	0.5	237.5
0	1	5	s	1	NA	0	1	79	0.75	237.75
1	2	5	NA	1	NA	0	1	79	1	238
2	4	5	NA	1	NA	0	1	79	1.25	238.25
3	5	5	NA	1	NA	0	1	79	1.5	238.5
2	4	5	NA	1	NA	0	1	79	1.75	238.75
1	2	5	NA	1	NA	0	1	79	2	239
5	9	4	NA	1	NA	0	1	79	2.25	239.25
6	10	4	NA	1	NA	0	1	79	2.5	239.5
0	1	5	NA	1	NA	0	1	79	2.75	239.75
1	2	5	NA	1	NA	0	1	80	0	240
2	4	5	NA	1	NA	0	1	80	0.25	240.25
3	5	5	NA	1	NA	0	1	80	0.5	240.5
4	7	5	NA	1	NA	0	1	80	0.75	240.75
5	9	5	NA	1	NA	0	1	80	1	241
4	7	5	NA	1	NA	0	1	80	1.25	241.25
3	5	5	NA	1	NA	0	1	80	1.5	241.5
2	4	5	NA	1	NA	0	1	80	1.75	241.75
1	2	5	NA	1	NA	0	1	80	2	242
0	0	5	NA	1	NA	0	1	80	2.25	242.25
6	11	4	n	1	NA	0	1	80	2.5	242.5
5	9	4	NA	1	NA	0	1	80	2.75	242.75
4	7	4	NA	12	NA	0	1	81	0	243
1	2	5	NA	12	NA	0	1	82	0	246
0	0	5	NA	0	NA	0	1	83	0	249
1	2	5	NA	0	NA	0	1	83	0	249
0	0	5	NA	4	NA	0	1	83	0	249
0	0	4	NA	6	NA	0	1	83	1	250
6	11	3	n	2	NA	0	1	83	2.5	251.5
6	11	3	n	2	NA	0	1	84	0	252
3	5	4	NA	2	NA	0	1	84	0.5	252.5
3	5	4	NA	2	NA	0	1	84	1	253
2	4	4	NA	2	NA	0	1	84	1.5	253.5
2	4	4	NA	2	NA	0	1	84	2	254
5	9	4	NA	2	NA	0	1	84	2.5	254.5
5	9	4	NA	2	NA	0	1	85	0	255
4	7	4	NA	2	NA	0	1	85	0.5	255.5
4	7	4	NA	2	NA	0	1	85	1	256
0	0	5	NA	2	NA	0	1	85	1.5	256.5
0	0	5	NA	2	NA	0	1	85	2	257
6	11	4	n	2	NA	0	1	85	2.5	257.5
6	11	4	n	2	NA	0	1	86	0	258
3	5	5	NA	2	NA	0	1	86	0.5	258.5
3	5	5	NA	4	NA	0	1	86	1	259
NA	NA	NA	NA	4	NA	0	1	86	2	260
NA	NA	NA	NA	12	NA	0	1	87	0	261
2	4	5	NA	6	NA	0	1	88	0	264
3	5	5	NA	1	NA	0	1	88	1.5	265.5
2	4	5	NA	1	NA	0	1	88	1.75	265.75
1	2	5	NA	2	NA	0	1	88	2	266
2	4	5	NA	2	NA	0	1	88	2.5	266.5
5	9	5	NA	12	start	0	1	89	0	267
5	9	5	NA	4	stop	0	1	90	0	270
4	7	5	NA	4	NA	0	1	90	1	271
6	11	4	n	4	NA	0	1	90	2	272
0	0	5	NA	4	NA	0	1	91	0	273
0	0	5	NA	6	NA	0	1	91	1	274
6	11	4	n	2	NA	0	1	91	2.5	275.5
6	11	4	n	2	NA	0	1	92	0	276
3	5	5	NA	2	NA	0	1	92	0.5	276.5
3	5	5	NA	2	NA	0	1	92	1	277
2	4	5	NA	2	NA	0	1	92	1.5	277.5
2	4	5	NA	2	NA	0	1	92	2	278
5	9	5	NA	2	NA	0	1	92	2.5	278.5
5	9	5	NA	2	NA	0	1	93	0	279
4	7	5	NA	2	NA	0	1	93	0.5	279.5
4	7	5	NA	2	NA	0	1	93	1	280
0	0	6	NA	2	NA	0	1	93	1.5	280.5
0	0	6	NA	2	NA	0	1	93	2	281
6	11	5	n	2	NA	0	1	93	2.5	281.5
6	11	5	n	2	NA	0	1	94	0	282
3	5	6	NA	2	NA	0	1	94	0.5	282.5
3	5	6	NA	4	NA	0	1	94	1	283
NA	NA	NA	NA	4	NA	0	1	94	2	284
NA	NA	NA	NA	12	NA	0	1	95	0	285
0	0	4	NA	12	NA	0	1	96	0	288
2	3	4	f	12	NA	1	1	96	0	288
0	0	4	NA	12	NA	0	1	97	0	291
2	3	4	f	12	NA	1	1	97	0	291
0	0	4	NA	8	NA	0	1	98	0	294
2	3	4	f	8	NA	1	1	98	0	294
0	0	4	NA	4	NA	0	1	98	2	296
2	3	4	NA	4	NA	1	1	98	2	296
0	0	4	NA	4	NA	0	1	99	0	297
2	4	4	NA	4	NA	1	1	99	0	297
3	5	4	NA	4	NA	0	1	99	1	298
1	2	4	NA	4	NA	0	1	99	2	299
0	0	4	NA	4	NA	0	1	100	0	300
NA	NA	NA	NA	4	NA	0	1	100	1	301
NA	NA	NA	NA	4	NA	0	1	100	2	302
NA	NA	NA	NA	4	NA	0	1	101	0	303
2	4	5	NA	4	NA	0	1	101	1	304
2	4	5	NA	4	NA	0	1	101	2	305
1	2	5	NA	0	NA	0	1	102	0	306
2	4	5	NA	0	NA	0	1	102	0	306
4	7	5	NA	4	NA	0	1	102	0	306
3	5	5	NA	4	NA	0	1	102	1	307
NA	NA	NA	NA	4	NA	0	1	102	2	308
NA	NA	NA	NA	4	NA	0	1	103	0	309
6	11	5	n	4	NA	0	1	103	1	310
6	11	5	NA	4	NA	0	1	103	2	311
5	9	5	NA	0	NA	0	1	104	0	312
6	11	5	NA	0	NA	0	1	104	0	312
0	0	6	NA	2	NA	0	1	104	0	312
2	4	6	NA	2	NA	0	1	104	0.5	312.5
4	7	5	NA	4	NA	0	1	104	1	313
NA	NA	NA	NA	4	NA	0	1	104	2	314
3	5	5	NA	1	NA	0	1	105	0	315
2	4	5	NA	1	NA	0	1	105	0.25	315.25
1	2	5	NA	1	NA	0	1	105	0.5	315.5
2	4	5	NA	1	NA	0	1	105	0.75	315.75
3	5	5	NA	1	NA	0	1	105	1	316
2	4	5	NA	1	NA	0	1	105	1.25	316.25
1	2	5	NA	1	NA	0	1	105	1.5	316.5
2	4	5	NA	1	NA	0	1	105	1.75	316.75
3	5	5	NA	1	NA	0	1	105	2	317
2	4	5	NA	1	NA	0	1	105	2.25	317.25
1	2	5	NA	1	NA	0	1	105	2.5	317.5
2	4	5	NA	1	NA	0	1	105	2.75	317.75
4	7	5	NA	4	NA	0	1	106	0	318
3	5	5	NA	4	NA	0	1	106	1	319
NA	NA	NA	NA	4	NA	0	1	106	2	320
0	0	6	NA	1	NA	0	1	107	0	321
6	11	5	n	1	NA	0	1	107	0.25	321.25
5	9	5	NA	1	NA	0	1	107	0.5	321.5
6	11	5	NA	1	NA	0	1	107	0.75	321.75
0	0	6	NA	1	NA	0	1	107	1	322
6	11	5	NA	1	NA	0	1	107	1.25	322.25
5	9	5	NA	1	NA	0	1	107	1.5	322.5
6	11	5	NA	1	NA	0	1	107	1.75	322.75
0	0	6	NA	1	NA	0	1	107	2	323
6	11	5	NA	1	NA	0	1	107	2.25	323.25
5	9	5	NA	1	NA	0	1	107	2.5	323.5
6	11	5	NA	1	NA	0	1	107	2.75	323.75
0	0	6	NA	1	NA	0	1	108	0	324
2	4	6	NA	1	NA	0	1	108	0.25	324.25
1	2	6	NA	1	NA	0	1	108	0.5	324.5
0	0	6	NA	1	NA	0	1	108	0.75	324.75
6	10	5	NA	1	NA	0	1	108	1	325
5	9	5	NA	1	NA	0	1	108	1.25	325.25
4	7	5	NA	1	NA	0	1	108	1.5	325.5
3	5	5	NA	1	NA	0	1	108	1.75	325.75
2	4	5	NA	1	NA	0	1	108	2	326
0	0	6	NA	1	NA	0	1	108	2.25	326.25
6	10	5	NA	1	NA	0	1	108	2.5	326.5
5	9	5	NA	1	NA	0	1	108	2.75	326.75
4	7	5	NA	1	NA	0	1	109	0	327
3	5	5	NA	1	NA	0	1	109	0.25	327.25
2	4	5	NA	1	NA	0	1	109	0.5	327.5
1	2	5	NA	1	NA	0	1	109	0.75	327.75
0	0	5	NA	1	NA	0	1	109	1	328
4	7	5	NA	1	NA	0	1	109	1.25	328.25
3	5	5	NA	1	NA	0	1	109	1.5	328.5
2	4	5	NA	1	NA	0	1	109	1.75	328.75
1	2	5	NA	1	NA	0	1	109	2	329
