syllable	position	measure	cardinality	corpus	verse
brawn	7	7	16	blackThought	section
of	8	7	16	blackThought	section
in-	0	13	16	blackThought	section
to	1	13	16	blackThought	section
lieu	0	2	16	blackThought	section
te	1	2	16	blackThought	section
nant	2	2	16	blackThought	section
dis-	10	11	16	blackThought	section
tri-	11	11	16	blackThought	section
bu-	12	11	16	blackThought	section
ted	13	11	16	blackThought	section
world	10	13	16	blackThought	section
shoot	14	14	16	blackThought	section
it	15	14	16	blackThought	section
pe-	8	22	16	blackThought	section
rig-	9	22	16	blackThought	section
non	10	22	16	blackThought	silentTreatment
gun	8	28	16	blackThought	silentTreatment
le	14	29	16	blackThought	silentTreatment
dal	9	30	16	blackThought	silentTreatment
she	14	4	16	blackThought	silentTreatment
called	15	4	16	blackThought	silentTreatment
me	0	5	16	blackThought	silentTreatment
i	6	5	16	blackThought	silentTreatment
call	7	5	16	blackThought	silentTreatment
her	8	5	16	blackThought	silentTreatment
knew	0	6	16	blackThought	silentTreatment
short-	1	6	16	blackThought	silentTreatment
kissed	12	6	16	blackThought	silentTreatment
her	13	6	16	blackThought	silentTreatment
dissed	2	7	16	blackThought	silentTreatment
her	3	7	16	blackThought	silentTreatment
be-	14	7	16	blackThought	silentTreatment
cause	15	7	16	blackThought	silentTreatment
sex	0	8	16	blackThought	silentTreatment
freak	12	9	16	blackThought	silentTreatment
and	13	9	16	blackThought	silentTreatment
weak	2	10	16	blackThought	silentTreatment
and	3	10	16	blackThought	silentTreatment
them	0	13	16	blackThought	sleep
would	1	13	16	blackThought	sleep
page	12	14	16	blackThought	sleep
ya	13	14	16	blackThought	sleep
catch	2	1	16	blackThought	sleep
a	3	1	16	blackThought	sleep
all	6	5	16	blackThought	sleep
that	7	5	16	blackThought	sleep
for	7	7	16	blackThought	stepIntoTheRealm
the	8	7	16	blackThought	stepIntoTheRealm
soul	9	7	16	blackThought	stepIntoTheRealm
of	10	7	16	blackThought	stepIntoTheRealm
rhyme	4	4	16	blackThought	sweptAway
my	5	4	16	blackThought	sweptAway
ble	8	10	16	blackThought	sweptAway
some	8	11	16	blackThought	sweptAway
hel-	0	1	16	blackThought	sweptAway
lo	1	1	16	blackThought	sweptAway
tern	8	3	16	blackThought	sweptAway
grain	8	9	16	blackThought	sweptAway
like	9	9	16	blackThought	sweptAway
just	8	10	16	blackThought	theHypnotic
too	9	10	16	blackThought	theHypnotic
flip	12	13	16	blackThought	theHypnotic
on	13	13	16	blackThought	theHypnotic
cool	4	7	16	blackThought	theHypnotic
out	5	7	16	blackThought	theHypnotic
tool	4	8	16	blackThought	theHypnotic
out	5	8	16	blackThought	theHypnotic
school 	12	8	16	blackThought	theHypnotic
route	13	8	16	blackThought	theHypnotic
out	13	9	16	blackThought	theHypnotic
her	13	16	16	blackThought	theHypnotic
tact	3	19	16	blackThought	theHypnotic
got	14	22	16	blackThought	theHypnotic
it	15	22	16	blackThought	theHypnotic
be	5	24	16	blackThought	theHypnotic
yond	6	24	16	blackThought	theHypnotic
u	1	25	16	blackThought	theLesson
with	12	26	16	blackThought	theLesson
her	13	26	16	blackThought	theLesson
cuz	15	26	16	blackThought	theLesson
its	15	16	16	blackThought	theLesson
like	5	18	16	blackThought	theLesson
spot	8	23	16	blackThought	theLesson
on	9	23	16	blackThought	TNT
when	3	27	16	blackThought	TNT
this	10	32	16	blackThought	TNT
void	11	32	16	blackThought	TNT
am	1	3	16	blackThought	TNT
i	2	3	16	blackThought	withoutADoubt
part	3	3	16	blackThought	withoutADoubt
of	4	3	16	didactic	basketball
grees	6	7	16	didactic	basketball
show	12	19	16	didactic	basketball
ya	13	19	16	didactic	basketball
king	4	3	16	didactic	basketball
on	5	3	16	didactic	basketball
pick	0	7	16	didactic	loseYourselfDemo1
and	1	7	16	didactic	loseYourselfDemo1
give	8	7	16	didactic	loseYourselfDemo1
and	9	7	16	didactic	loseYourselfDemo1
sule	8	2	16	didactic	loseYourselfDemo1
through	11	3	16	didactic	loseYourselfDemo1
it	12	3	16	didactic	loseYourselfDemo1
grasp	0	4	16	didactic	loseYourselfDemo1
it	1	4	16	didactic	loseYourselfDemo1
to	11	4	16	didactic	loseYourselfDemo1
it	12	4	16	didactic	loseYourselfDemo1
through	11	5	16	didactic	loseYourselfDemo1
it	12	5	16	didactic	loseYourselfDemo1
could	0	6	16	didactic	loseYourselfDemo1
do	1	6	16	didactic	loseYourselfDemo1
it	2	6	16	didactic	loseYourselfDemo1
mit	0	8	16	didactic	loseYourselfDemo1
through	1	8	16	didactic	loseYourselfDemo1
em	2	8	16	didactic	loseYourselfDemo1
sit	10	9	16	didactic	loseYourselfDemo1
through	11	9	16	didactic	loseYourselfDemo1
