artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
andre3k	bob1	0	0	156	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
augustAlsina	noLoveAlsina	0	0	64	NA	NA	genre1	1	0	2007	late	2014	Testimony	south	undetermined	betMostInfluential
bigBoi	shutterbugg	0	0.25	98.4375	NA	NA	genre1	1	1	1992	mid	2010	sirLuciousLeftFoot	south	undetermined	metacriticGreaterThan84
bigDaddyKane	aintNoHalf	0	0	100.8384	NA	NA	genre1	1	0	1987	early	1988	longLivetheKane	east	undetermined	"betMostInfluential, sourceTop50Lyricists"
bigKrit	cadillactica	0	0	72	NA	NA	genre1	1	0	2005	late	2014	cadillactica	south	undetermined	xxlFreshmen
blackRob	whoa	-1	3.25	86.4932	NA	NA	genre1	1	1	1993	mid	2000	lifeStory	east	undetermined	complexSleptOn
blackThought	goodMusic	-1	2.75	96.2164871	1.072	21.027	blackThought	1				1993	Organix	east	artist_album	
blackThought	silentTreatment	-1	3.25	84.89189548	1.565	24.182	blackThought	1				1995	Do You Want More	east	artist_album	
blackThought	sweptAway	-1	3.25	102.2745432	0.842	19.615	blackThought	1				1995	Do You Want More	east	artist_album	
blackThought	theLesson	0	0.5	95.46539379	1.766	21.878	blackThought	1				1995	Do You Want More	east	artist_album	
blackThought	section	0	0.25	95.79882247	0.297	20.339	blackThought	1				1996	Illadelph Halflife	east	artist_album	
blackThought	theHypnotic	0	0.25	76.94157249	0.075	25.029	blackThought	1				1996	Illadelph Halflife	east	artist_album	
blackThought	itsAboutThatTime	-1	3.25	89.51883626	3.986	25.434	blackThought	1				1998	Soul Survivor	east	feature_single	
blackThought	respiration	-1	3.25	91.9760479	0.762	21.637	blackThought	1				1999	"Respiration 12"""	east	feature_nonSingle	
blackThought	stepIntoTheRealm	-1	2.25	91.10752586	2.293	23.367	blackThought	1				1999	Things Fall Apart	east	artist_album	
blackThought	withoutADoubt	-1	3.25	98.0943136	4.575	24.148	blackThought	1				1999	Things Fall Apart	east	artist_album	
blackThought	clap	0	0	90.01828496	5.29	26.619	blackThought	1				2002	Next	east	feature_nonSingle	
blackThought	atonement	-1	2.25	72	NA	NA	blackThought	1	NA	NA	NA	2006	gameTheory	east	artist_album	
blackThought	baby1	0	0.5	113	NA	NA	blackThought	1	NA	NA	NA	2006	gameTheory	east	artist_album	
blackThought	breadAndButter2	0	0.25	93	NA	NA	blackThought	1	NA	NA	NA	2006	gameTheory	east	artist_album	
blackThought	cantStopThis2	-1	3.25	93	NA	NA	blackThought	1	NA	NA	NA	2006	gameTheory	east	artist_album	
blackThought	falseMedia	-1	1.5	93	NA	NA	blackThought	1	NA	NA	NA	2006	gameTheory	east	artist_album	
blackThought	longTime3	0	0.5	102	NA	NA	blackThought	1	NA	NA	NA	2006	gameTheory	east	artist_album	
